isbn,ncid,title,creators
322441,"http://ci.nii.ac.jp/ncid/BN03588764","怪談 : 不思議なことの物語と研究","ラフカディオ・ハーン作 ; 平井呈一訳"
322452,"http://ci.nii.ac.jp/ncid/BA46530709","サロメ","ワイルド作 ; 福田恆存訳"
322452,"http://ci.nii.ac.jp/ncid/BN02517330","サロメ","ワイルド作 ; 福田恆存譯"
322472,"http://ci.nii.ac.jp/ncid/BN00917032","蜘蛛の巣の家 : 短篇集","ギッシング作 ; 吉田甲子太郎譯"
322472,"http://ci.nii.ac.jp/ncid/BN05601535","蜘蛛の巣の家 : 短篇集","ギッシング作 ; 吉田甲子太郎譯"
322481,"http://ci.nii.ac.jp/ncid/BB02120605","闇の奥","コンラッド作 ; 中野好夫訳"
322481,"http://ci.nii.ac.jp/ncid/BN05071624","闇の奥","コンラッド著 ; 中野好夫訳"
322542,"http://ci.nii.ac.jp/ncid/BA72656282","月と六ペンス","モーム作 ; 行方昭夫訳"
322542,"http://ci.nii.ac.jp/ncid/BN01982277","月と六ペンス","モーム作 ; 阿部知二訳"
322671,"http://ci.nii.ac.jp/ncid/BA80681795","阿片常用者の告白","ド・クインシー作 ; 野島秀勝訳"
322671,"http://ci.nii.ac.jp/ncid/BN01045010","阿片常用者の告白","ディ・クィンシー著 ; 田部重治譯"
322761,"http://ci.nii.ac.jp/ncid/BA40831327","タイム・マシン : 他九篇","H.G.ウエルズ作 ; 橋本槇矩訳"
322761,"http://ci.nii.ac.jp/ncid/BN06278479","タイム・マシン : 他九篇","H.G.ウエルズ作 ; 橋本槇矩訳"
322763,"http://ci.nii.ac.jp/ncid/BA41233397","モロー博士の島 : 他九篇","H. G. ウエルズ作 ; 橋本槙矩, 鈴木万里訳"
322763,"http://ci.nii.ac.jp/ncid/BN09959246","モロー博士の島 : 他九篇","H. G. ウエルズ作 ; 橋本槇矩, 鈴木万里訳"
322881,"http://ci.nii.ac.jp/ncid/BA5934538X","ピーター・シムプル","マリアット作 ; 伊藤俊男訳"
322881,"http://ci.nii.ac.jp/ncid/BN05653197","ピーター・シムプル","マリアット作 ; 伊藤俊男譯"
323011,"http://ci.nii.ac.jp/ncid/BB04553997","フランクリン自伝","フランクリン [著] ; 松本慎一, 西川正身訳"
323011,"http://ci.nii.ac.jp/ncid/BN00904314","フランクリン自伝","フランクリン [著] ; 松本慎一, 西川正身訳"
323041,"http://ci.nii.ac.jp/ncid/BN00945344","緋文字","ホーソン作 ; 佐藤清訳"
